timestamp,gaze_x,gaze_y,blink,gaze_dir,head_status,ear_left,ear_right
18.168,0.41875,0.67345,0,<- LEFT,FORWARD,0.3207,0.3151
18.2268,0.41928,0.67317,0,<- LEFT,FORWARD,0.3207,0.3007
18.2732,0.41952,0.67302,0,<- LEFT,FORWARD,0.3067,0.3007
18.323,0.42146,0.67292,0,<- LEFT,FORWARD,0.3018,0.3007
18.3993,0.42344,0.6727,0,<- LEFT,FORWARD,0.3018,0.2844
18.4626,0.42385,0.67264,0,<- LEFT,FORWARD,0.2929,0.2884
18.5247,0.42671,0.67237,0,<- LEFT,FORWARD,0.3115,0.2884
18.5794,0.42933,0.67238,0,<- LEFT,FORWARD,0.2978,0.2884
18.6346,0.4293,0.67239,0,<- LEFT,FORWARD,0.2842,0.297
18.7017,0.43179,0.67199,0,<- LEFT,FORWARD,0.2836,0.2884
18.7608,0.43209,0.6718,0,<- LEFT,FORWARD,0.2763,0.297
18.8292,0.43741,0.67146,0,<- LEFT,FORWARD,0.2769,0.3066
18.9081,0.4407,0.67057,0,<- LEFT,FORWARD,0.2836,0.2937
18.9831,0.44205,0.67085,0,<- LEFT,FORWARD,0.2972,0.3181
19.0418,0.44231,0.67095,0,<- LEFT,FORWARD,0.2972,0.3218
19.1099,0.44251,0.67111,0,<- LEFT,FORWARD,0.2842,0.288
19.1914,0.44244,0.67126,0,<- LEFT,FORWARD,0.2842,0.2793
19.2539,0.44122,0.67223,0,<- LEFT,FORWARD,0.2802,0.307
19.308,0.44031,0.67304,0,<- LEFT,FORWARD,0.2779,0.2917
19.3642,0.43891,0.67212,0,<- LEFT,FORWARD,0.2746,0.269
19.4231,0.43854,0.67165,0,<- LEFT,FORWARD,0.2808,0.2829
19.4907,0.43818,0.66984,0,<- LEFT,FORWARD,0.2701,0.2829
19.5398,0.43823,0.66948,0,<- LEFT,FORWARD,0.2842,0.2977
19.6163,0.43824,0.66249,0,<- LEFT,FORWARD,0.2836,0.3121
19.6979,0.43845,0.65794,0,<- LEFT,FORWARD,0.2938,0.3121
19.7576,0.43844,0.65724,0,<- LEFT,FORWARD,0.2944,0.3121
